AreaHaSIG,lat,lon,cluster,year,is_noise
2.35029541,37.7240827638561,-8.651433158983922,-1,2020,True
7.36199856,38.24106972074386,-7.374573751428921,-1,2020,True
1.79848735,40.33566919154972,-7.074901633841824,-1,2020,True
5.35879249,40.40343839325832,-6.891632140252481,-1,2020,True
5.60737863,40.941338515657456,-6.951053877547852,5,2020,False
1.37886537,40.314261604027706,-7.735842155038587,-1,2020,True
0.26865416,40.54221657587456,-7.341876718750379,-1,2020,True
1.46621953,40.93648601443039,-6.9440405251238975,5,2020,False
1.5052285,40.774194356464264,-7.219251286326319,-1,2020,True
1.35433607,41.14272126060832,-7.153319183682052,5,2020,False
1.21893763,40.590553713287406,-7.5202826730360055,-1,2020,True
1.09919973,40.691366323328985,-7.105979168570609,5,2020,False
2.22528863,40.60763704133924,-6.849843601117385,-1,2020,True
1.82858009,40.4762491082185,-7.164985675571576,-1,2020,True
11.9793954,40.83914954335433,-7.024481555915009,5,2020,False
91.66982759,40.809493172537785,-7.063336132579463,5,2020,False
1.71822818,40.730186391377316,-7.125207999072813,-1,2020,True
9.07825702,40.94549207045144,-7.156799251636157,5,2020,False
1.02624422,40.294548238210275,-7.2371222935783,-1,2020,True
1.42571014,40.78657430087904,-7.3768714498038515,-1,2020,True
3.11576497,40.81548440680773,-7.054975814740819,5,2020,False
1.7694945,40.67931600447555,-7.108256920001738,5,2020,False
2.89096768,40.673885309055684,-7.136638605473598,-1,2020,True
6.15804702,40.72782265682925,-7.3584083533882385,-1,2020,True
1.21053583,40.644468973619674,-7.296126400344876,-1,2020,True
104.29832623,40.554092346865495,-7.5848310303642625,-1,2020,True
21.00996572,41.029741093956495,-7.205034969628016,5,2020,False
3.06553129,40.380003327434565,-7.0795840695854135,-1,2020,True
3.95292605,40.57730634982795,-7.074109187675605,-1,2020,True
2.9697613,40.60054118179209,-6.895599544672432,-1,2020,True
3.43809847,40.994130072670075,-7.339337393671964,5,2020,False
112.10573954,40.638852042578165,-7.035849213635797,-1,2020,True
0.28888374,40.613123018954404,-6.8398312037621505,-1,2020,True
1.27192716,40.67612503145642,-6.854717686033339,-1,2020,True
685.72589009,40.31414608990951,-7.1980159715266625,-1,2020,True
1.11931449,40.51353984611502,-7.095996422830119,-1,2020,True
23.70582152,40.75134958845852,-7.455490171433654,-1,2020,True
1.85632053,40.67421688850325,-6.975501279588917,-1,2020,True
2.41559983,40.81919324157059,-6.878439461064589,-1,2020,True
4.64143423,40.695534338670114,-6.991736195545162,5,2020,False
129.64492838,41.10404758911348,-7.2696631434490575,-1,2020,True
57.8100556,41.10703830732361,-7.281376865444319,-1,2020,True
6.11851343,40.60852322282882,-6.846745081448401,-1,2020,True
6.39705801,40.90222598677012,-7.0448868899009955,5,2020,False
3.16965586,40.42496359673305,-7.837231558838118,-1,2020,True
10.01228446,40.2889075645393,-7.094670491770375,-1,2020,True
2.69293992,40.75564464481772,-7.2420408179667195,-1,2020,True
6.65179705,40.65018857012112,-6.9338269389219365,-1,2020,True
13.36290427,40.348846368678494,-7.558016747065012,-1,2020,True
2.3293069,40.93946406044631,-7.199928149125477,5,2020,False
67.16511148,40.44215043043294,-7.751620313502601,-1,2020,True
6.52984142,40.5170931886746,-7.647430748788375,-1,2020,True
9.53056212,40.92949708959617,-7.01140127752517,5,2020,False
31.53058154,40.56494148160446,-7.565378097380801,-1,2020,True
26.00357762,41.10463321433662,-7.2618595095250065,-1,2020,True
181.04445068,40.94446451184363,-7.024996916573556,5,2020,False
235.74250294,40.954170614148246,-6.978403717081469,5,2020,False
2.32390554,40.90993540448517,-6.932722047026779,5,2020,False
15.82468058,40.60903746823456,-7.197164742773248,-1,2020,True
1.00510676,40.95084408919459,-7.006153142466846,5,2020,False
1.43913646,40.95027097608163,-6.943893768763507,5,2020,False
4.81517752,40.571011392325225,-7.282589389040486,-1,2020,True
10.35935966,41.122060258296486,-7.261318061686996,-1,2020,True
21.65103131,40.97313524237649,-7.154732941773625,5,2020,False
9.72544481,40.972896259689726,-7.167381349753375,5,2020,False
5.40333499,40.93916181390523,-6.999240848859397,5,2020,False
1.64075849,40.53980528791666,-7.594926439451345,-1,2020,True
3.62976553,40.60199433488384,-7.56195423744768,-1,2020,True
3.85069233,40.43259723309794,-6.953759275225785,-1,2020,True
3.91345408,41.03609307135565,-7.21056912649043,5,2020,False
15.30185463,40.70685211594178,-7.08979589839867,5,2020,False
3.77699025,40.94880552343206,-7.001409144979793,5,2020,False
68.6432365,40.445123691978004,-7.084902478386308,-1,2020,True
9.31435104,41.051391583947705,-7.196135463434626,5,2020,False
3.24334627,40.976582275225816,-7.018990347933783,5,2020,False
6.08991486,40.975812699637835,-7.167398401572039,5,2020,False
1.44407837,40.7733428864312,-7.195281424930648,-1,2020,True
1.49700188,40.934088314261594,-7.039591749991593,5,2020,False
1.60672971,40.51575608097798,-7.184658126805771,-1,2020,True
15.76780918,40.90227598360757,-7.109808459734098,5,2020,False
4.30681115,40.56896045318711,-7.282559436531954,-1,2020,True
1.30541233,40.94191190077781,-6.998469840103025,5,2020,False
8.00676785,40.630179604432996,-7.489108943273889,-1,2020,True
43.93053753,41.03740591241623,-7.195131380924885,5,2020,False
95.98544606,40.944431566680045,-7.181649312931029,5,2020,False
1.48147707,40.51340693238552,-7.365680133355744,-1,2020,True
6.31399928,39.799134303460136,-7.1087962005884355,-1,2020,True
1.87835831,40.234560130062235,-7.375730489961502,-1,2020,True
587.02509578,39.943709823087126,-6.911696618830564,-1,2020,True
24.71635353,39.98634247581242,-7.422710035584164,-1,2020,True
2.07459273,40.12689540467561,-7.164502693195877,-1,2020,True
6.38051514,39.87270092922077,-7.368017003340871,-1,2020,True
6.20184829,39.813613023566205,-7.494839180809423,-1,2020,True
2.19025584,40.03883484918207,-7.345007523738541,-1,2020,True
0.79215369,39.94991043170796,-7.412729381790703,-1,2020,True
1.28570608,39.94099548367347,-7.858933135126083,-1,2020,True
1.85833081,40.228741488786646,-7.663748478128471,-1,2020,True
14.13820818,39.669171470055986,-8.106748350825017,2,2020,False
1.38099582,39.94851437548531,-8.061084654869205,-1,2020,True
1.96823945,39.8776744071526,-7.380760976849891,-1,2020,True
2.31295488,40.216939250020474,-7.3603771215466045,-1,2020,True
13.1878125,39.72985103027788,-7.744993804655567,-1,2020,True
84.84220989,39.927240195296996,-7.445099357010239,-1,2020,True
1.67079938,40.04862232520832,-7.31162791398894,-1,2020,True
1.52536131,39.95342553883549,-7.421088902166269,-1,2020,True
1.17917402,39.954274656146175,-7.468097271402574,-1,2020,True
5592.21002157,39.83632080165731,-7.94033446448156,-1,2020,True
23.71476501,40.35224571674689,-7.3071186487471405,-1,2020,True
1082.77341929,40.213207179742135,-7.757865793004863,-1,2020,True
9.03865416,40.03785330234781,-7.039621421064379,-1,2020,True
781.43590802,40.05440995961387,-7.782033571329738,-1,2020,True
