geometry,name,id,latitude,longitude,category,vi
POINT (-3.7129528 40.4107469),Centro Privado de Formación Profesional Específica Afuera II,school_70,40.4107469,-3.7129528,school,0.0
POINT (-3.7023644 40.4284328),Centro Privado de Formación Profesional Específica Gonzalez Cañadas,school_71,40.4284328,-3.7023644,school,0.0
POINT (-3.6943198 40.426749),Academia J.E.A.,school_72,40.426749,-3.6943198,school,0.0
POINT (-3.698532 40.4259839),Torval'l Formación,school_73,40.4259839,-3.698532,school,0.0
POINT (-3.5911118 40.4605125),Colegio de Educación Infantil y Primaria Ciudad de Zaragoza,school_74,40.4605125,-3.5911118,school,0.0
POINT (-3.6828789 40.4227116),Centro Privado de Educación Secundaria Aries,school_75,40.4227116,-3.6828789,school,0.0
POINT (-3.7175148 40.4341776),Centro Privado de Educación Secundaria Díaz Balaguer,school_76,40.4341776,-3.7175148,school,0.0
POINT (-3.7091246 40.4219785),Centro Privado de Educación Secundaria Vox,school_77,40.4219785,-3.7091246,school,0.0
POINT (-3.7100844 40.4232128),Quick,school_78,40.4232128,-3.7100844,school,0.0
POINT (-3.6409337 40.4371671),Colegio Besana,school_79,40.4371671,-3.6409337,school,0.0
POINT (-3.686481 40.4942106),Colegio de Educación Especial Francisco del Pozo,school_80,40.4942106,-3.686481,school,0.0
POINT (-3.6899905 40.3678822),"Centro Privado de Educación Infantil, Primaria y Secundaria La Natividad",school_81,40.3678822,-3.6899905,school,0.0
POINT (-3.6827155 40.4485677),Centro Privado de Educación Especial Centro Nuevo de Pedagogía,school_82,40.4485677,-3.6827155,school,0.0
POINT (-3.7012985 40.4143134),Centro Privado de Formación Profesional Específica Afuera I,school_83,40.4143134,-3.7012985,school,0.0
POINT (-3.7528567 40.3745662),"Centro Privado de Educación Infantil, Primaria y Secundaria institucion Profesional Salesiana",school_84,40.3745662,-3.7528567,school,0.0
POINT (-3.728264 40.3791298),Centro Privado de Educación Infantil y Primaria Cervantes,school_85,40.3791298,-3.728264,school,0.0
POINT (-3.7091042 40.4157649),Centro Privado de Formación Profesional Específica Teide II,school_86,40.4157649,-3.7091042,school,0.0
POINT (-3.7474666 40.3963134),"Centro Privado de Educación Infantil, Primaria y Secundaria Bienaventurada Virgen María",school_87,40.3963134,-3.7474666,school,0.0
POINT (-3.6759404 40.4325989),Circulo Ecca,school_88,40.4325989,-3.6759404,school,0.0
POINT (-3.7033722 40.3972382),Centro Privado de Educación Infantil y Primaria Dos Parques,school_89,40.3972382,-3.7033722,school,0.0
POINT (-3.7067618 40.4115325),Antiguo Centro de Estudios Sol,school_90,40.4115325,-3.7067618,school,0.0
POINT (-3.6878857 40.4428104),Instituto de Educación Secundaria Ramiro de Maeztu,school_91,40.4428104,-3.6878857,school,0.0
POINT (-3.6579234 40.4274073),Centro Privado de Educación Especial La Purísima,school_92,40.4274073,-3.6579234,school,0.0
POINT (-3.6952191 40.441934),Centro Docente Extranjero En España Scuola Statale Italiana de Madrid (italiano),school_93,40.441934,-3.6952191,school,0.0
POINT (-3.6496481 40.403818),Centro Público de Educación de Personas Adultas Cultural Moratalaz,school_94,40.403818,-3.6496481,school,0.0
POINT (-3.6493561 40.4560206),Centro Docente Extranjero En España Numont School (britanico),school_95,40.4560206,-3.6493561,school,0.0
POINT (-3.6638364 40.4702083),Centro Docente Extranjero En España Hof Der Lage Landen (países Bajos),school_96,40.4702083,-3.6638364,school,0.0
POINT (-3.7026257 40.4898707),Centro Privado de Educación Especial Leo Kanner,school_97,40.4898707,-3.7026257,school,0.0
POINT (-3.7261302 40.3899718),Colegio de Educación Especial Inmaculada Concepción,school_98,40.3899718,-3.7261302,school,0.0
POINT (-3.6818229 40.4456314),"Centro Docente Extranjero En España Colegio Libio de Madrid (libia, Alum. Extr.)",school_99,40.4456314,-3.6818229,school,0.0
POINT (-3.6699409 40.4271234),"Centro Privado de Formación Profesional Específica Organizacion Profesional Española, Opesa",school_100,40.4271234,-3.6699409,school,0.0
POINT (-3.662711 40.3928289),Centro Público de Educación de Personas Adultas La Albufera,school_101,40.3928289,-3.662711,school,0.0
POINT (-3.6768545 40.4617099),"Centro Privado de Educación Infantil, Primaria y Secundaria Willoughby College",school_102,40.4617099,-3.6768545,school,0.0
POINT (-3.589105 40.4603155),Instituto de Educación Secundaria Alameda de Osuna,school_103,40.4603155,-3.589105,school,0.0
POINT (-3.7368841 40.3940299),Colegio de Educación Infantil y Primaria Miguel Servet,school_104,40.3940299,-3.7368841,school,0.0
POINT (-3.7624389 40.3890501),Instituto de Educación Secundaria Blas de Otero,school_105,40.3890501,-3.7624389,school,0.0
POINT (-3.7625512 40.3886546),Colegio de Educación Infantil y Primaria La Latina,school_106,40.3886546,-3.7625512,school,0.0
POINT (-3.6712953 40.4298593),C.Est.Profes.Advos.y Linguisticos (Cepal),school_107,40.4298593,-3.6712953,school,0.0
